No.,iupac_name,official_name,aliases,regulation_date,designated_date_ja,category,pubchem_cid,inchi_key,smiles,effective_date,gazette_date,source_link
166,"1-(3,4-jimethoxyphenyl)-2- (pirorijin-1-iru)pentan-1- on","3, 4-Dimethoxy-α-PVP",,,平成26年3月6日,指定薬物,,,,,,
167,"1-(3,4-jimethoxyphenyl)-2- (mechiruamineo)puropan-1-on及び その salts","3, 4-Dimethoxymethcathinone",,,平成28年6月22日,指定薬物,,,,,,
168,"2-(2,5-jimethoxyphenyl)-N- (2-methoxybenzylu)etanamine及 びその salts",25H-NBOMe,,,平成26年3月6日,指定薬物,,,,,,
169,"2-(2,5-jimethoxy-4-puropiru phenyl)etanamine",2C-P,,,平成27年3月25日,指定薬物,,,,,,
170,"1-(3,5-jimethoxy-4-puropoki shiphenyl)puropan-2-amine及び その salts",3C-P,,,平成30年2月28日,指定薬物,,,,,,
171,"2-(2,5-jimethoxy-4-mechirufe niru)etanamine",2C-D,,,平成28年1月21日,指定薬物,,,,,,
172,"2-(2,5-jimethoxy-4-mechirufe niru)-2-methoxyetanamine及びそ の salts",BOD (β-METHOXY-2C-D),,,令和2年8月26日,指定薬物,,,,,,
173,"{1-[(tetrahydropiran-4-iru)me chiru]-1H-indo-ru-3-iru} (2,2,3,3-tetoramechirushikuropuro pan-1-iru)metanon",A-834735,,,平成25年6月28日,指定薬物,,,,,,
174,"(2,2,3,3-tetoramechirushikuropuro pan-1-iru)[1-(4,4,4-torifu ruorobuchiru)-1H-indo-ru-3 -iru]metanon",XLR-12,,,平成26年6月11日,指定薬物,,,,,,
175,"2-(2,4,5-torikuroro-3,6-jime tokishiphenyl)etanamine 類",2C-C-3,,2010/825,平成22年8月25日,指定薬物,,,,,,
176,"1-(2,4,6-torimethoxyphenyl)pu ropan-2-amine",TMA-6,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
177,2-(nafutaren-2-iru)-2-(pi perijin-2-iru) acetateechiruesute ru,Ethylnaphthidate;  HDEP-28,,,平成28年6月22日,指定薬物,,,,,,
178,2-(nafutaren-2-iru)-2-(pi perijin-2-iru) acetatemechiruesute ru,Methylnaphthidate;  HDMP-28,,,平成27年11月25日,指定薬物,,,,,,
179,1-(nafutaren-2-iru)-2-(piro rijin-1-iru)pentan-1-on,Naphyrone,,,平成23年9月20日,指定薬物,,,,,,
180,nafutaren-1-iru=1-(4-furuo robenzylu)-1H-indo-ru-3-ka rubokishira-to,FDU-PB-22,,,平成26年8月15日,指定薬物,,,,,,
181,nafutaren-1-iru=1-(5-furuo ropenchiru)-1H-indazo-ru-3 -karubokishira-to,5-Fluoro-SDB-005,,,平成26年8月15日,指定薬物,,,,,,
182,N-(nafutaren-1-iru)-1-(5- furuoropenchiru)-1H-indo-ru -3-karubokisamido,5F-NNE1,,,平成25年10月21日,指定薬物,,,,,,
183,nafutaren-1-iru=1-(5-furuo ropenchiru)-1H-indo-ru-3-ka rubokishira-to,NM2201,,,平成26年10月29日,指定薬物,,,,,,
184,nafutaren-1-iru(1-penchiru-1 H-indazo-ru-3-iru)metanon及 びその salts,THJ-018;  JWH-018 indazole analog,,,平成26年8月15日,指定薬物,,,,,,
185,N-(nafutaren-1-iru)-1-pen chiru-1H-indazo-ru-3-karubo kisamido,NNE1 indazole analog;  MN-18,,,平成26年3月6日,指定薬物,,,,,,
186,nafutaren-1-iru=1-penchiru- 1H-indazo-ru-3-karubokishi ra-to,SDB-005,,,平成26年10月29日,指定薬物,,,,,,
187,N-(nafutaren-1-iru)-1-pen chiru-1H-indo-ru-3-karuboki samido,NNE1;  MN-24,,,平成25年10月21日,指定薬物,,,,,,
188,nafutaren-1-iru[4-(penchiruo kishi)nafutaren-1-iru]metanon及 びその salts,CB-13,,,平成24年6月1日,指定薬物,,,,,,
189,nafutaren-1-iru(9-penchiru-9 H-karubazo-ru-3-iru)metanon,EG-018,,,平成26年10月29日,指定薬物,,,,,,
190,nafutaren-1-iru(1-penchiru-1 H-piro-ru-3-iru)metanon及び その salts,JWH-030,,,平成25年4月30日,指定薬物,,,,,,
191,nafutaren-1-iru(1-penchiru-5 -phenyl-1H-piro-ru-3-i ru)metanon,JWH-145,,,平成27年3月25日,指定薬物,,,,,,
192,N-(nafutaren-1-iru)-1-pen chiru-N-(1-penchiru-1H-in do-ru-3-karuboniru)-1H-in do-ru-3-karubokisamido 類,BiPICANA,,,平成26年8月15日,指定薬物,,,,,,
193,2-{[bisu(4-furuorophenyl)mechi ru]surufiniru}asetoamido,Bisfluoromodafinil,,,平成28年3月9日,指定薬物,,,,,,
194,2-{[bisu(4-furuorophenyl)mechi ru]surufiniru}-N-mechiruasetoa mido,"Modafiendz;  N-Methyl-4, 4-difluoro- modafinil",,,平成28年1月21日,指定薬物,,,,,,
195,4-hidorokishi-N-isopropyl-N -mechirutoriputamine,4-OH-MIPT,,,平成27年3月25日,指定薬物,,,,,,
196,"4-hidorokishi-N,N-jiisopropyl toriputamine",4-OH-DIPT,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
197,N-{1-[2-hidorokishi-2-(chio fen-2-iru)echiru]piぺrijin- 4-iru}-N-phenylpuropanamido,β-hydroxythiofentanyl,,,令和3年6月17日,指定薬物,,,,,,
198,"(1RS,3SR)-3-[2-hidorokishi- 4-(2-mechiruokutan-2-iru) phenyl]shikurohekisan-1-o-ru","CP-47, 497",,2009/10/21,平成21年10月21日,指定薬物,,,,,,
199,3-[1-(piperijin-1-iru)shikuro hekishiru]feno-ru,3-HO-PCP;  3-OH-PCP;  3-hydroxy-PCP;  PCP-3-OH,,,平成30年12月19日,指定薬物,,,,,,
200,2-(pirorijin-1-iru)-1-(chi ofen-2-iru)butan-1-on及 びその salts,α-PBT,,,平成26年9月19日,指定薬物,,,,,,
201,2-(pirorijin-1-iru)-1-(chi ofen-2-iru)pentan-1-on,α-PVT,,,平成25年4月30日,指定薬物,,,,,,
202,"2-(pirorijin-1-iru)-1-(5, 6,7,8-tetrahydronafutaren-2- iru)pentan-1-on",TH-PVP,,,平成27年12月15日,指定薬物,,,,,,
203,2-phenyl-2-(piperijin-2-i ru) acetateisopropylesuteru,Isopropylphenidate,,,平成27年11月25日,指定薬物,,,,,,
204,1-phenyl-2-(piperijin-1-i ru)butan-1-on,α-PBP piperidine analog,,,平成26年3月6日,指定薬物,,,,,,
205,N-(2-phenylpuropan-2-iru) -1-[(tetrahydro-2H-piran-4 -iru)mechiru]-1H-indazo-ru- 3-karubokisamido,CUMYL-THPINACA,,,平成28年3月9日,指定薬物,,,,,,
206,1-(1-phenylpentan-2-iru) pirorijin,Prolintane,,,平成27年2月18日,指定薬物,,,,,,
207,N-(1-fenechirupiperijin-4-i ru)-N-phenylisobutylamido及び その salts,Isobutyrylfentanyl,,,令和2年8月26日,指定薬物,,,,,,
208,N-(1-fenechirupiperijin-4-i ru)-N-phenylshikuropentankarubo kisamido,Cyclopentylfentanyl,,2019/8/29,令和元年8月29日,指定薬物,,,,,,
209,"4-butanoiru-N,N-jiechiru-7 -mechiru-4,6,6a,7,8,9-heki sahidoroindoro[4,3-fg]kinorin- 9-karubokisamido",1B-LSD,,,令和2年8月26日,指定薬物,,,,,,
210,2-(buchiruamineo)-1-(4-kuroro phenyl)puropan-1-on,4-Chloro-N-butylcathinone,,,令和元年12月17日,指定薬物,,,,,,
211,"2-(buchiruamineo)-1-(3,4-mechi renjiokishiphenyl)butan-1-on",N-Butyl butylone,,,令和5年8月31日,指定薬物,,,,,,
212,"2-(buchiruamineo)-1-(3,4-mechi renjiokishiphenyl)pentan-1- on",N-Butylpentylone,,,令和2年2月28日,指定薬物,,,,,,
213,1-buchiru-N-(2-phenylpuropa n-2-iru)-1H-indo-ru-3- karubokisamido,CUMYL-BICA,,,平成28年2月10日,指定薬物,,,,,,
214,N-{1-[2-(furan-2-iru)echi ru]piぺrijin-4-iru}-N-feni rupuropanamido,Furanylethylfentanyl (FUEF),,,令和2年8月26日,指定薬物,,,,,,
215,1-(4-furuorophenyl)-2-(iso puropiruamineo)pentan-1-on及び その salts,4F-IPV;  4-Fluoro-NPP,,,平成26年12月26日,指定薬物,,,,,,
216,1-[1-(3-furuorophenyl)shikuro hekishiru]piperijin,3F-PCP(3-Fluoro-PCP),,,令和3年3月15日,指定薬物,,,,,,
217,1-(4-furuorophenyl)piperajin,4FPP,,2009/10/21,平成21年10月21日,指定薬物,,,,,,
218,2-(4-furuorophenyl)-2-(pi perijin-2-iru) acetatemechiruesute ru,4-Fluoromethylphenidate;  4-FMPH;  4F-MPH,,,平成29年10月31日,指定薬物,,,,,,
219,1-(4-furuorophenyl)-2-(pi perijin-1-iru)pentan-1-on,4-Fluoro-α-PVP piperidine analog,,,平成27年1月30日,指定薬物,,,,,,
220,N-(4-furuorophenyl)-N-(1- fenechirupiperijin-4-iru)furan -2-karubokisamido,4F-Furanylfentanyl;  para-Fluorofuranylfentanyl,,,令和5年3月10日,指定薬物,,,,,,
221,1-(2-furuorophenyl)puropan- 2-amine,2FMP;  2-Fluoroamphetamine;  2F-AMP,,,平成26年12月26日,指定薬物,,,,,,
222,1-(3-furuorophenyl)puropan- 2-amine,3FMP;  3-Fluoroamphetamine;  3F-AMP,,,平成27年1月30日,指定薬物,,,,,,
223,[5-(2-furuorophenyl)-1-pe nchiru-1H-piro-ru-3-iru](na futaren-1-iru)metanon 類,JWH-307,,,平成25年4月30日,指定薬物,,,,,,
224,[5-(3-furuorophenyl)-1-pe nchiru-1H-piro-ru-3-iru](na futaren-1-iru)metanon 類,JWH-368,,,平成27年3月25日,指定薬物,,,,,,
225,"5-(4-furuorophenyl)-4-mechi ru-4,5-jihidorookisazo-ru-2 -amine",4F-4-MAR 4-fluoro-4-Methylaminorex para-fluoro-4-methylaminorex 4F-MAR 4-FPO,,,令和7年8月29日,指定薬物,,,,,,
226,1-(2-furuorophenyl)-N-mechi rupuropan-2-amine,N-Methyl-2-FMP;  2-FMA,,2010/825,平成22年8月25日,指定薬物,,,,,,
227,1-(3-furuorophenyl)-N-mechi rupuropan-2-amine,3-Fluoromethamphetamine;  3-FMA,,,平成25年6月28日,指定薬物,,,,,,
228,1-(4-furuorophenyl)-N-mechi rupuropan-2-amine,N-Methyl-4-FMP;  4-Fluoromethamphetamine,,2008/12/17,平成20年12月17日,指定薬物,,,,,,
229,2-(2-furuorophenyl)-3-mechi rumoruforin,2-FPM;  2-Fluorophenmetrazine,,,平成29年2月24日,指定薬物,,,,,,
230,2-(3-furuorophenyl)-3-mechi rumoruforin,3-Fluorophenmetrazine;  3-FPM,,,平成27年11月25日,指定薬物,,,,,,
231,2-(4-furuorophenyl)-3-mechi rumoruforin,4-Fluorophenmetrazine;  4-FPM,,,平成28年3月9日,指定薬物,,,,,,
232,"[1-(4-furuorobenzylu)-1H-i ndo-ru-3-iru](2,2,3,3-teto ramechirushikuropuropiru)metanon及びそ の salts",FUB-144,,,平成26年8月15日,指定薬物,,,,,,
233,[1-(4-furuorobenzylu)-1H- indo-ru-3-iru](nafutaren-1 -iru)metanon,FUB-JWH-018,,,平成27年11月25日,指定薬物,,,,,,
234,1-(4-furuorobenzylu)-N-(na futaren-1-iru)-1H-indo-ru -3-karubokisamido,FDU-NNE1,,,平成27年6月24日,指定薬物,,,,,,
235,"N-(2-furuorobenzylu)-2-(4 -yo-do-2,5-jimethoxyphenyl) etanamine",25I-NBF,,,平成27年5月22日,指定薬物,,,,,,
236,[1-(5-furuoropenchiru)-1H-i ndazo-ru-3-iru](nafutaren-1 -iru)metanon,THJ-2201,,,平成26年8月15日,指定薬物,,,,,,
237,[1-(5-furuoropenchiru)-1H-i ndo-ru-3-iru](pirijin-3-i ru)metanon,5-Fluoropentyl-3- pyridinoylindole,,,平成25年4月30日,指定薬物,,,,,,
238,[1-(5-furuoropenchiru)-1H- indo-ru-3-iru](2-yo-dofe niru)metanon,AM694,,,平成23年9月20日,指定薬物,,,,,,
239,1-(5-furuoropenchiru)-N-(na futaren-1-iru)-1H-indazo- ru-3-karubokisamido,5-Fluoro-MN-18;  5-Fluoro-NNE1 indazole analog,,,平成26年6月11日,指定薬物,,,,,,
240,1-(5-furuoropenchiru)-N-fe niru-1H-indo-ru-3-karuboki samido,LTI-701,,,平成29年8月29日,指定薬物,,,,,,
241,1-(5-furuoropenchiru)-N-(2 -phenylpuropan-2-iru)-1H -indazo-ru-3-karubokisamido及 びその salts,CUMYL-5F-PINACA,,,平成27年8月19日,指定薬物,,,,,,
242,1-(5-furuoropenchiru)-N-(2 -phenylpuropan-2-iru)-1H -indo-ru-3-karubokisamido及び その salts,CUMYL-5F-PICA,,,平成27年8月19日,指定薬物,,,,,,
243,"5-(5-furuoropenchiru)-2-(2 -phenylpuropan-2-iru)-2,5 -jihidoro-1H-pirido[4,3-b]in do-ru-1-on",5FーCUMYL-PEGACLONE;  5FーSGT-151,,2019/8/29,令和元年8月29日,指定薬物,,,,,,
244,"1-(5-furuoropenchiru)-N-(2 -phenylpuropan-2-iru)-1H -piroro[2,3-b]pirijin-3-karu bokisamido",CUMYL-5F-P7AICA,,,平成28年2月10日,指定薬物,,,,,,
245,[1-(5-furuoropenchiru)-1H- benzo[d]imidazo-ru-2-iru](nafu taren-1-iru)metanon 類,FUBIMINA;  AM2201 benzimidazole analog,,,平成26年8月15日,指定薬物,,,,,,
246,1-(4-furuoro-3-mechirufeni ru)-2-(pirorijin-1-iru)pen tan-1-on,4-fluoro-3-methyl-α-PVP;  MFPVP,,,令和4年8月30日,指定薬物,,,,,,
247,"4-puropanoiruokishi-N,N-jime chirutoriputamine",4-PrO-DMT,,,令和7年10月29日,指定薬物,,,,,,
248,"2-(4-buromo-2,5-jimethoxyfe niru)-N-(2-furuorobenzylu)e tanamine",25B-NBF,,,平成26年9月19日,指定薬物,,,,,,
249,"2-[(4-buromo-2,5-jimethoxy fenechiruamineo)mechiru]feno-ru及 びその salts",25B-NBOH;  2C-B-NBOH;  NBOH-2C-B,,,平成29年12月19日,指定薬物,,,,,,
250,"2-(8-buromo-2,3,6,7-tetorahi dorobenzo[1,2-b:4,5-b’]jifura n-4-iru)etanamine 類",2C-B-FLY,,,平成28年2月10日,指定薬物,,,,,,
251,"1-(8-buromobenzo[1,2-b:4,5 -b’]jifuran-4-iru)puropan-2 -amine",Bromo-DragonFLY,,,平成27年8月19日,指定薬物,,,,,,
252,"3-hepuchiru-6a,7,8,9,10,10a -hekisahidoro-1-methoxy-6,6, 9-torimechiru-6H-jibenzo[b,d] piran",HHCPM; O-methyl-HHCP;  Hexahydrocannabiphorol methyl ether,,,令和6年8月7日,指定薬物,,,,,,
253,"2-benzyluamineo-1-(3,4-mechire njiokishiphenyl)puropan-1-o n",BMDP,,,平成24年10月17日,指定薬物,,,,,,
254,4-benzylupiperijin,,,,平成27年2月18日,指定薬物,,,,,,
255,N-benzylu-1-(5-furuoropen chiru)-1H-indo-ru-3-karubo kisamido,5F-SDB-006,,,平成27年3月25日,指定薬物,,,,,,
256,N-benzylu-1-penchiru-1H-i ndo-ru-3-karubokisamido,SDB-006,,,平成26年9月19日,指定薬物,,,,,,
257,1-benzylu-4-mechirupiperajin及 びその salts,MBZP,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
258,"4-benzoiru-N,N-jiechiru-7 -mechiru-4,6,6a,7,8,9-heki sahidoroindoro[4,3-fg]kinorin- 9-karubokisamido",1Bz-LSD,,,令和7年8月29日,指定薬物,,,,,,
259,1-[1-(benzo[b]chiofen-2- iru)cyclohexyl]piperijin及びそ の salts,Benocyclidine; BTCP,,,令和3年10月21日,指定薬物,,,,,,
260,1-(benzofuran-2-iru)-N-e chirupuropan-2-amine 類,2-EAPB,,,平成27年1月30日,指定薬物,,,,,,
261,1-(benzofuran-4-iru)-N-e chirupuropan-2-amine 類,4-EAPB,,,令和元年11月14日,指定薬物,,,,,,
262,1-(benzofuran-5-iru)-N-e chirupuropan-2-amine 類,5-EAPB,,,平成26年12月26日,指定薬物,,,,,,
263,1-(benzofuran-6-iru)-N-e chirupuropan-2-amine 類,6-EAPB,,,令和元年11月14日,指定薬物,,,,,,
264,1-(benzofuran-2-iru)puropan -2-amine,2-APB,,,平成27年2月18日,指定薬物,,,,,,
265,1-(benzofuran-5-iru)puropan -2-amine,5-APB,,,平成27年9月16日,指定薬物,,,,,,
266,1-(benzofuran-6-iru)puropan -2-amine,6-APB,,,平成24年12月17日,指定薬物,,,,,,
267,1-(benzofuran-2-iru)-N-me chirupuropan-2-amine 類,2-MAPB,,,平成26年8月15日,指定薬物,,,,,,
268,1-(benzofuran-5-iru)-N-me chirupuropan-2-amine 類,5-MAPB,,,平成26年8月15日,指定薬物,,,,,,
269,1-penchiru-N-(kinorin-8-i ru)-1H-indazo-ru-3-karubo kisamido,THJ,,,平成28年6月22日,指定薬物,,,,,,
270,1-penchiru-N-(2-phenylpuro pan-2-iru)-1H-indazo-ru -3-karubokisamido,CUMYL-PINACA,,,平成27年8月19日,指定薬物,,,,,,
271,1-penchiru-N-(2-phenylpuro pan-2-iru)-1H-indo-ru-3 -karubokisamido,CUMYL-PICA,,,平成27年8月19日,指定薬物,,,,,,
272,[1-(1-mechiruazepan-3-iru) -1H-indo-ru-3-iru](nafuta ren-1-iru)metanon,AM1220 アゼパン異性体;  AM1220 azepan isomer,,,平成26年8月15日,指定薬物,,,,,,
273,"2-(mechiruamineo)-1-(3,4-jimechi ruphenyl)puropan-1-on及びそ の salts","3, 4-Dimethylmethcathinone",,,平成24年6月1日,指定薬物,,,,,,
274,2-(mechiruamineo)-1-(chiofen- 2-iru)puropan-1-on,2-Thiothinone;  βk-MPA,,,令和3年8月25日,指定薬物,,,,,,
275,2-(mechiruamineo)-2-phenylshikuro hekisanon,Deschloroketamine;  DXE;  DCK,,,平成29年6月21日,指定薬物,,,,,,
276,"2-[(mechiruamineo)mechiru]-3,4-ji hidoronafutaren-1(2H)-on及びそ の salts",Mephtetramine,,,平成27年9月16日,指定薬物,,,,,,
277,N-mechiruindan-2-amine及びそ の salts,N-methyl-2-AI,,,平成26年3月6日,指定薬物,,,,,,
278,"(E)-mechiru=2-[(2S,3S,7aS, 12bS)-3-echiru-7a-hidorokishi -8-methoxy-1,2,3,4,6,7,7 a,12b-okutahidoroindoro[2,3- a]kinorijin-2-iru]-3-methoxy akurira-to",7-Hydroxymitragynine;  7a-Hydroxy-7H-mitragynine,,,平成28年3月9日,指定薬物,,,,,,
279,"(E)-mechiru=2-[(2S,3S,12b S)-3-echiru-8-methoxy-1,2, 3,4,6,7,12,12b-okutahidoroi ndoro[2,3-a]kinorijin-2-iru] -3-methoxyakurira-to 類",Mitragynine,,,平成28年3月9日,指定薬物,,,,,,
280,"mechiru=2-[1-(cyclohexylmechi ru)-1H-indazo-ru-3-karubo kisamido]-3,3-jimechirubutanoa-to",MDMB-CHMINACA,,,平成26年12月26日,指定薬物,,,,,,
281,mechiru=2-[1-(cyclohexylmechi ru)-1H-indazo-ru-3-karubo kisamido]-3-mechirubutanoa-to及び その salts,MA-CHMINACA,,,平成26年12月26日,指定薬物,,,,,,
282,mechiru=2-[1-(cyclohexylmechi ru)-1H-indo-ru-3-karuboki samido]-3-mechirubutanoa-to及びそ の salts,AMB-CHMICA,,,平成28年12月21日,指定薬物,,,,,,
283,"mechiru=3-(3,4-jikurorophenyl) -8-mechiru-8-azabishikuro[3. 2.1]okutan-2-karubokishira-to",RTI-111;  Dichloropane;  O-401,,,平成29年2月24日,指定薬物,,,,,,
284,N-mechiru-1-(nafutaren-2-i ru)puropan-2-amine,Methamnetamine,,,平成27年9月16日,指定薬物,,,,,,
285,(4-mechirupiperajin-1-iru)(1- penchiru-1H-indo-ru-3-i ru)metanon,MEPIRAPIM,,,平成26年10月29日,指定薬物,,,,,,
286,{1-[(1-mechirupiperijin-2-i ru)mechiru]-1H-indo-ru-3-i ru}(nafutaren-1-iru)metanon及び その salts,AM1220,,,平成24年6月1日,指定薬物,,,,,,
287,1-[1-(3-mechiruphenyl)shikurohe kishiru]pirorijin,3-Me-PCPy;  3-Methyl rolicyclidine,,,令和5年3月10日,指定薬物,,,,,,
288,2-(4-mechiruphenyl)-2-(piperi jin-2-iru) acetatemechiruesuteru及 びその salts,4-Methylmethylphenidate,,,平成28年6月22日,指定薬物,,,,,,
289,N-(2-mechiruphenyl)-N-(1- fenechirupiperijin-4-iru)puro panamido,ortho-Methylfentanyl o-Methylfentanyl,,,令和7年10月29日,指定薬物,,,,,,
290,1-(4-mechiruphenyl)puropan-2 -amine,4-Methylamphetamine,,,平成24年10月17日,指定薬物,,,,,,
291,"mechiru(1―phenylpuropan―2―i ru)karubamine酸1,1―jimechiruechiru",t-BOC-Methamphetamine,,,平成29年12月19日,指定薬物,,,,,,
292,2-(2-mechiruphenyl)-1-(1-pe nchiru-1H-indo-ru-3-iru) etan-1-on,JWH-251,,,平成23年4月14日,指定薬物,,,,,,
293,1-[(3-mechiruphenyl)mechiru]piperaji n,1-(3-Methylbenzyl)piperazine,,,平成26年6月11日,指定薬物,,,,,,
294,1-(3-mechiruphenyl)-N-mechiru puropan-2-amine,3-MMA;  3-Methylmethamphetamine,,,令和5年10月26日,指定薬物,,,,,,
295,"mechiru=2-[1-(4-furuorobuchi ru)-1H-indo-ru-3-karuboki samido]-3,3-jimechirubutanoa-to及 びその salts",4F-MDMB-BICA;  4F-MDMB-BUTICA,,,令和3年6月17日,指定薬物,,,,,,
296,"mechiru=2-[1-(4-furuorobenji ru)-1H-indazo-ru-3-karubo kisamido]-3,3-jimechirubutanoa-to",MDMB-FUBINACA;  FUB-ADB,,,平成27年2月18日,指定薬物,,,,,,
297,"mechiru=2―[1―(4-furuorobenji ru)―1H―indo-ru―3―karuboki samido]―3,3―jimechirubutanoa-to及 びその salts",MDMB-FUBICA,,,平成28年6月22日,指定薬物,,,,,,
298,mechiru=2―[1―(4―furuorobenji ru)―1H―indo-ru―3―karuboki samido]―3―mechirubutanoa-to及びそ の salts,AMB-FUBICA;  MMB-FUBICA,,,令和3年1月22日,指定薬物,,,,,,
299,mechiru=2-[1-(5-furuoropenchi ru)-1H-indo-ru-3-karuboki samido]-3-phenylpuropanoa-to及 びその salts,MPHP-2201,,,令和元年12月17日,指定薬物,,,,,,
300,mechiru=2-[1-(5-furuoropenchi ru)-1H-indo-ru-3-karuboki samido]-3-mechirubutanoa-to及びそ の salts,MMB2201;  5-Fluoro-AMB indole analog,,,平成26年8月15日,指定薬物,,,,,,
301,"mechiru=2-[1-(5-furuoropenchi ru)-1H-piroro[2,3-b]pirijin -3-karubokisamido]-3,3-jimechi rubutanoa-to",5F-MDMB-P7AICA,,,令和4年1月19日,指定薬物,,,,,,
302,"N-mechiru-N-(puropan-2-iru) -7-mechiru-4,6,6a,7,8,9- hekisahidoroindoro[4,3-fg]kinori n-9-karubokisamido",MiPLA;  MIPLA;  N-Methyl-N-isopropyl lysergamide,,,令和6年3月6日,指定薬物,,,,,,
303,N-mechiru-N-puropirutoriputamine及 びその salts,MPT,,,令和7年3月5日,指定薬物,,,,,,
304,N-mechiru-1-(5-mechiruchiofen -2-iru)puropan-2-amine及び その salts,Mephedrene;  5-MMPA,,,令和4年12月16日,指定薬物,,,,,,
305,3-mechiru-2-(4-mechiruphenyl) moruforin,Mephenmetrazine,,,平成27年11月25日,指定薬物,,,,,,
306,mechiru=3-mechiru-2-[1-(penta -4-en-1-iru)-1H-indo- ru-3-karubokisamido]butanoa-to及 びその salts,MMB-022;  AMB-4en-PICA;  MMB-4en-PICA,,,令和3年1月22日,指定薬物,,,,,,
307,mechiru=3-mechiru-2-(1-penchi ru-1H-indazo-ru-3-karuboki samido)butanoa-to,AMB,,,平成26年10月29日,指定薬物,,,,,,
308,"4-mechiru-1-(3,4-mechirenjio kishiphenyl)-2-(pirorijin-1- iru)pentan-1-on",MD-PiHP;  MD-PHiP,,,令和6年11月6日,指定薬物,,,,,,
309,"N-mechiru-4-(3,4-mechirenjio kishiphenyl)butan-2-amine及びそ の salts",HMDMA,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
310,"3-mechiru-2-(3,4-mechirenjio kishiphenyl)moruforin 類","3, 4-MDPM; 3-MDPM; 3, 4- Methylenedioxyphenmetrazine",,,令和6年8月7日,指定薬物,,,,,,
311,"5,6-mechirenjiokishiindan-2- amine",MDAI,,,平成25年4月30日,指定薬物,,,,,,
312,"1-(3,4-mechirenjiokishiphenyl) butan-2-amine",BDB,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
313,"1-(3,4-mechirenjiokishiphenyl) puropan-2-iru(mechiru)karubamine 酸1,1-jimechiruechiru","t-BOC-3, 4-MDMA",,,平成29年12月19日,指定薬物,,,,,,
314,"1-(3,4-mechirenjiokishiphenyl) -2-(puropiruamineo)butan-1-o n",N-Propylbutylone;  Putylone;  bk-PBDB,,,令和6年3月6日,指定薬物,,,,,,
315,"1-(3,4-mechirenjiokishibenji ru)piperajin",MDBP,,2007/12/12,平成19年12月12日,指定薬物,,,,,,
316,1-(5-methoxy-1H-indo-ru- 3-iru)puropan-2-amine及びそ の salts,5-MeO-AMT,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
317,"(Z)-N-[3-(2-methoxyechiru) -4,5-jimechiruchiazo-ru-2(3H) -iriden]-2,2,3,3-tetoramechi rushikuropuropankarubokisamido及びそ の salts",A-836339,,,平成26年3月6日,指定薬物,,,,,,
318,"5-methoxy-N,N-jipuropirutoripu tamine",5-MeO-DPT,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
319,"1-methoxy-3,3-jimechiru-1-o kisobutan-2-iru=1-(shikurohe kishirumechiru)-1H-indazo-ru- 3-karubokishira-to",MO-CHMINACA,,,平成28年1月21日,指定薬物,,,,,,
320,"5-methoxy-N,N-jimechirutoriputami n",5-MeO-DMT,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
321,1-[1-(4-methoxyphenyl)shikuro hekishiru]piperijin,4-MeO-PCP,,,平成26年9月19日,指定薬物,,,,,,
322,4-[1-(3-methoxyphenyl)shikuro hekishiru]moruforin,3-MeO-PCMo,,,平成27年12月15日,指定薬物,,,,,,
323,1-(4-methoxyphenyl)piperajin,4MPP;  4-MeOPP,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
324,1-[1-(2-methoxyphenyl)-2- phenylechiru]piperijin 類,2-MeO-diphenidine;  Methoxphenidine,,,平成26年9月19日,指定薬物,,,,,,
325,N-(4-methoxyphenyl)-N-(1- fenechirupiperijin-4-iru)butan amido,4-Methoxybutyrfentanyl;  p-Methoxybutyrylfentanyl;  4-MeO-BF;  p-MeO-BF,,,平成31年2月19日,指定薬物,,,,,,
326,2-(3-methoxyphenyl)-2-(puro piruamineo)shikurohekisanon,Methoxpropamine;  MXPr;  3-MeO-2’-oxo-PCPr,,,令和4年3月7日,指定薬物,,,,,,
327,2-(2-methoxyphenyl)-1-(1- penchiru-1H-indo-ru-3-i ru)etanon,JWH-250,,2010/825,平成22年8月25日,指定薬物,,,,,,
328,(2-methoxyphenyl)(1-penchiru- 1H-indo-ru-3-iru)metanon及 びその salts,RCS-4 オルト異性体,,,平成24年10月17日,指定薬物,,,,,,
329,(4-methoxyphenyl)(1-penchiru- 1H-indo-ru-3-iru)metanon及 びその salts,RCS-4,,,平成23年9月20日,指定薬物,,,,,,
330,2-(3-methoxyphenyl)-2-(mechi ruamineo)shikurohekisanon 類,Methoxmetamine;  MMXE,,,平成28年2月10日,指定薬物,,,,,,
331,2-(2-methoxyphenyl)-1-{1- [(1-mechirupiperijin-2-iru)mechi ru]-1H-indo-ru-3-iru}eta non,Cannabipiperidiethanone,,,平成24年6月1日,指定薬物,,,,,,
332,"3-[2-(2-methoxybenzyluamineo) echiru]kinazorin-2,4(1H,3H) -jion",RH-34,,,平成27年5月22日,指定薬物,,,,,,
