law_number,law_category,official_name,systematic_name,common_name,aliases,effective_date,effective_date_ja,pubchem_cid,inchi_key,smiles,source_link,note,status
73,指定薬物,２－（４－エチル－２，５－ジメトキシフェニル）－Ｎ－（２－メトキシベンジル）エタンアミン及びその塩類,"2-(4-echiru-2,5-jimethoxyfe niru)-N-(2-methoxybenzylu)e tanamine",25E-NBOMe,,2015/05/22,平成27年5月22日,118796522 ,PXDVGFGXPVCNAB-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
74,指定薬物,２－［（４－エチル－２，５－ジメトキシフェネチルアミノ）メチル］フェノール及びその塩類,"2-[(4-echiru-2,5-jimethoxy fenechiruamineo)mechiru]feno-ru及 びその salts",25E-NBOH,,2018/12/19,平成30年12月19日,135391539 ,SYBINTRPEZWFLZ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
75,指定薬物,１－（４－エチルスルファニル－２，５－ジメトキシフェニル）プロパン－２－アミン及びその塩類,"1-(4-echirusurufaniru-2,5- jimethoxyphenyl)puropan-2-ami n",ALEPH-2,,2008/12/17,平成20年12月17日,10264356 ,MCYCODJKXUJSAT-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
76,指定薬物,Ｎ－エチル－４－ヒドロキシ－Ｎ－プロピルトリプタミン及びその塩類,N-echiru-4-hidorokishi-N-puro pirutoriputamine,4-HO-EPT,,2024/01/19,令和6年1月19日,138454310 ,JQELEPKHBXEAHR-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
77,指定薬物,Ｎ－エチル－４－ヒドロキシ－Ｎ－メチルトリプタミン及びその塩類,N-echiru-4-hidorokishi-N-mechi rutoriputamine,4-OH-MET,,2015/03/25,平成27年3月25日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
78,指定薬物,エチル＝１－（１－フェニルエチル）－１ Ｈ－イミダゾール－５－カルボキシラート,echiru=1-(1-phenylechiru)-1 H-imidazo-ru-5-karubokishira- to,Etomidate,,2025/05/16,令和7年5月16日,667484 ,NPUKDXXFDDZOKR-LLVKDONJSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
79,指定薬物,１－（４－エチルフェニル）－Ｎ－（２－メトキシベンジル）プロパン－２－アミン及びその塩類,1-(4-echiruphenyl)-N-(2-me tokishibenzylu)puropan-2-amine及 びその salts,4-EA-NBOMe,,2017/12/19,平成29年12月19日,132280994 ,WWWBFWRUWWKJIJ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
80,指定薬物,エチル＝２－（４－フルオロフェニル）－２－（ピペリジン－２－イル）アセテート及びその塩類,echiru=2-(4-furuorophenyl)- 2-(piperijin-2-iru)asete-to,4-Fluoroethylphenidate,,2021/03/15,令和3年3月15日,123133727 ,RKXQYWFDJDYSEN-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
81,指定薬物,Ｎ－エチル－１－（２－フルオロフェニル）プロパン－２－アミン及びその塩類,N-echiru-1-(2-furuorofeni ru)puropan-2-amine,2-FEA,2-fluoroethamphetamine,2019/02/19,平成31年2月19日,20027466 ,NIWYLNFSJJLYHU-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
82,指定薬物,N－エチル－１－（３－フルオロフェニル）プロパン－２－アミン及びその塩類,N-echiru-1-(3-furuorofeni ru)puropan-2-amine,3-FEA,3-fluoroethamphetamine,2018/11/14,平成30年11月14日,57458869 ,CKPWHLGHHXSVJI-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
83,指定薬物,N－エチル－１－（４－フルオロフェニル）プロパン－２－アミン及びその塩類,N-echiru-1-(4-furuorofeni ru)puropan-2-amine,4-FEA,4-fluoroethamphetamine,2018/11/14,平成30年11月14日,18352720 ,PUJNOWQUPWZVER-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
84,指定薬物,３－エチル－２－（３－フルオロフェニル)モルフォリン及びその塩類,3-echiru-2-(3-furuorofeni ru)moruforin,3F-Phenetrazine,3-FPE,2017/08/29,平成29年8月29日,165361708 ,GPTHUZORYIVVNJ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
85,指定薬物,エチル＝２－［１－（４－フルオロベンジル）－１Ｈ－インダゾール－３－カルボキサミド］－３－メチルブタノアート及びその塩類,echiru=2-[1-(4-furuorobenji ru)-1H-indazo-ru-3-karubo kisamido]-3-mechirubutanoa-to及び その salts,EMB-FUBINACA,FUB-AEB,2016/08/24,平成28年8月24日,125181443 ,YOECWCNJGHHTMN-IBGZPJMESA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
86,指定薬物,エチル＝２－［１－（５－フルオロペンチル）－１Ｈ－インダゾール－３－カルボキサミド］－３，３－ジメチルブタノアート及びその塩類,"echiru=2-[1-(5-furuoropenchi ru)-1H-indazo-ru-3-karubo kisamido]-3,3-jimechirubutanoa-to",5F-EDMB-PINACA,,2021/01/22,令和3年1月22日,137700114 ,VDEACSPMBSUVRD-GOSISDBHSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
87,指定薬物,エチル＝２－［１－（５－フルオロペンチル）－１Ｈ－インダゾール－３－カルボキサミド］－３－メチルブタノアート及びその塩類,echiru=2-[1-(5-furuoropenchi ru)-1H-indazo-ru-3-karubo kisamido]-3-mechirubutanoa-to及び その salts,5F-AEB,,2016/06/22,平成28年6月22日,125181449 ,YWSYUMWEKPNAHT-KRWDZBQOSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
88,指定薬物,エチル＝２－［１－（５－フルオロペンチル）－１Ｈ－インドール－３－カルボキサミド］－３，３－ジメチルブタノアート及びその塩類,"echiru=2-[1-(5-furuoropenchi ru)-1H-indo-ru-3-karuboki samido]-3,3-jimechirubutanoa-to及 びその salts",5F-EDMB-PICA,,2022/03/07,令和4年3月7日,165361474 ,RNWBJOCYFGGMRJ-LJQANCHMSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
89,指定薬物,エチル＝２－［１－(５－フルオロペンチル) －１H－インドール－３－カルボキサミド］－３－メチルブタノアート及びその塩類,echiru=2-[1-(5-furuoropenchi ru) -1H-indo-ru-3-karuboki samido]-3-mechirubutanoa-to及びそ の salts,5F-EMB-PICA,EMB-2201,2021/08/25,令和3年8月25日,155907803 ,WPRKGJGOLPGBMG-IBGZPJMESA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
90,指定薬物,３－｛２－［エチル（プロピル）アミノ］エチル｝－１Ｈ－インドール－４－イル＝アセテート及びその塩類,3-{2-[echiru(puropiru)amineo]echi ru}-1H-indo-ru-4-iru=a sete-to,4-AcO-EPT,,2021/03/15,令和3年3月15日,138454311 ,VMFRFQVZMZGHOK-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
91,指定薬物,N－エチル－N－メチルトリプタミン及びその塩類,N-echiru-N-mechirutoriputamine及び その salts,MET,Methyl ethyl tryptamine,2023/03/10,令和5年3月10日,6137 ,FFEARJCKVFRZRR-BYPYZUCNSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
92,指定薬物,Ｎ－エチル－Ｎ－［２－（５－メトキシ－１Ｈ－インドール－３－イル）エチル］プロパン－１－アミン及びその塩類,N-echiru-N-[2-(5-methoxy- 1H-indo-ru-3-iru)echiru]pu ropan-1-amine,5-MeO-EPT,,2011/04/14,平成23年4月14日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
93,指定薬物,Ｎ－エチル－１－（３－メトキシフェニル)シクロヘキサン－１－アミン及びその塩類,N-echiru-1-(3-methoxyfeni ru)shikurohekisan-1-amine及びそ の salts,3-MeO-PCE,,-,令和元年6月13日,57461569 ,OFGOOZLOGUNDFS-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
94,指定薬物,Ｎ－エチル－１－（４－メトキシフェニ ル）プロパン－２－アミン及びその塩類,N-echiru-1-(4-methoxyfeni ru)puropan-2-amine,PMEA,,2014/09/19,平成26年9月19日,60172 ,SUPKOOSCJHTBAH-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
95,指定薬物,２－（４－エトキシ－３，５－ジメトキシフェニル）エタンアミン及びその塩類,"2-(4-etokishi-3,5-jimethoxy phenyl)etanamine",Escaline,,2016/12/21,平成28年12月21日,38240 ,RHOGRSKNWDNCDN-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
96,指定薬物,１－（４－エトキシ－３，５－ジメトキシフェニル）プロパン－２－アミン及びその塩類,"1-(4-etokishi-3,5-jimethoxy phenyl)puropan-2-amine及びそ の salts",3C-E,,2015/03/25,平成27年3月25日,44350137 ,AHLXCGRWNKUNTQ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
97,指定薬物,２－（４－エトキシベンジル）－１－（エチルアミノ）エチル－５－ニトロベンズイミダゾール,2-(4-etokishibenzylu)-1-(e chiruamineo)echiru-5-nitorobenzui midazo-ru,N-Desethyl Etonitazene,,2025/07/03,令和7年7月3日,162623580 ,RESPFUMJVJRUMB-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
98,指定薬物,２－（４－エトキシベンジル）－１－（２－ジエチルアミノ）エチル－５－メチルベンズイミダゾール,2-(4-etokishibenzylu)-1-(2- jiechiruamineo)echiru-5-mechiruben zuimidazo-ru,5-Methyl etodesnitazene Etomethazene,,2025/10/29,令和7年10月29日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
99,指定薬物,２－（１－オキソ－１－フェニルプロパン－２－イル）イソインドリン－１，３－ジオン及びその塩類,"2-(1-okiso-1-phenylpuropan -2-iru)isoindorin-1,3-ji on",Phthalimidopropiophenone,,2014/09/19,平成26年9月19日,519663 ,CKLKGWHINGNHOK-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
100,指定薬物,キノリン－８－イル＝１－（シクロヘキシルメチル）－１Ｈ－インドール－３－カルボキシラート及びその塩類,kinorin-8-iru=1-(shikurohekishi rumechiru)-1H-indo-ru-3-ka rubokishira-to,QUCHIC,BB-22,2013/10/21,平成25年10月21日,71711120 ,RHYGTJXOHOGQGI-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
101,指定薬物,キノリン－８－イル＝３－［（４，４－ジフルオロピペリジン－１－イル）スルホニル］－４－メチルベンゾア－ト及びその塩類,"kinorin-8-iru=3-[(4,4-jifu ruoropiperijin-1-iru)suruhoni ru]-4-mechirubenzoa-to",2F-QMPSB,,2021/10/21,令和3年10月21日,155884739 ,JOSWCKYCXJMLNM-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
102,指定薬物,キノリン－８－イル＝１－（４－フルオロベンジル）－１Ｈ－インダゾール－３－カルボキシラート及びその塩類,kinorin-8-iru=1-(4-furuoro benzylu)-1H-indazo-ru-3- karubokishira-to,FUB-NPB-22,,2015/02/18,平成27年2月18日,125181354 ,NYHGKZZRRCVGAU-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
103,指定薬物,キノリン－８－イル＝１－（４－フルオロベンジル）－１Ｈ－インドール－３－カルボキシラート及びその塩類,kinorin-8-iru=1-(4-furuoro benzylu)-1H-indo-ru-3-ka rubokishira-to,FUB-PB-22,,2014/06/11,平成26年6月11日,91936864 ,ROHVURVXAOMRJY-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
104,指定薬物,キノリン－８－イル＝１－（５－フルオロペンチル）－１Ｈ－インダゾール－３－カルボキシラート及びその塩類,kinorin-8-iru=1-(5-furuoro penchiru)-1H-indazo-ru-3- karubokishira-to,5-Fluoro-NPB-22,,2014/08/15,平成26年8月15日,118796524 ,DZNDVBLSHUYZLI-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
105,指定薬物,キノリン－８－イル＝１－ペンチル－１ H－インダゾール－３－カルボキシラート及びその塩類,kinorin-8-iru=1-penchiru-1 H-indazo-ru-3-karubokishira- to,NPB-22,,2018/12/19,平成30年12月19日,118796435 ,UWICFJAXLKCHTQ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
106,指定薬物,キノリン－８－イル＝１－ペンチル（１Ｈ－インドール）－３－カルボキシラート及びその塩類,kinorin-8-iru=1-penchiru(1H -indo-ru)-3-karubokishira-to,QUPIC,PB-22,2013/04/30,平成25年4月30日,71604304 ,ZAVGICCEAOUWFM-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
107,指定薬物,５－クロロ－３－エチル－Ｎ－［４－（ピペリジン－１－イル）フェネチル］－１H－インドール－２－カルボキサミド及びその塩類,5-kuroro-3-echiru-N-[4-(pi perijin-1-iru)fenechiru]-1H -indo-ru-2-karubokisamido及び その salts,Org27569,,2015/03/25,平成27年3月25日,44828492 ,AHFZDNYNXFMRFQ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
108,指定薬物,２－（４－クロロ－２，５－ジメトキシフェニル）エタンアミン及びその塩類,"2-(4-kuroro-2,5-jimethoxyfe niru)etanamine",2C-C,,2007/02/28,平成19年2月28日,29979100 ,CGKQFIWIPSIVAS-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
109,指定薬物,２－（４－クロロ－２，５－ジメトキシフェニル）－Ｎ－（３，４，５－トリメトキシベンジル）エタンアミン及びその塩類,"2-(4-kuroro-2,5-jimethoxyfe niru)-N-(3,4,5-torimethoxybe njiru)etanamine",30C-NBOMe,,2015/05/22,平成27年5月22日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
110,指定薬物,２－（４－クロロ－２，５－ジメトキシフェニル）－Ｎ－（２－フルオロベンジル）エタンアミン及びその塩類,"2-(4-kuroro-2,5-jimethoxyfe niru)-N-(2-furuorobenzylu)e tanamine",25C-NBF,,2014/09/19,平成26年9月19日,125181230 ,AHIUIEOLKNDLSC-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
111,指定薬物,２－［（４－クロロ－２，５－ジメトキシフェネチルアミノ）メチル］フェノール及びその塩類,"2-[(4-kuroro-2,5-jimethoxy fenechiruamineo)mechiru]feno-ru及 びその salts",25C-NBOH,,2015/06/24,平成27年6月24日,125181419 ,VHWXICYYQMMZCW-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
112,指定薬物,１－（４－クロロフェニル）プロパン－２－アミン及びその塩類,1-(4-kurorophenyl)puropan-2 -amine,4Cl-AMP,,2014/08/15,平成26年8月15日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
113,指定薬物,２－（２－クロロフェニル）－１－（１－ペンチル－１Ｈ－インドール－３－イル）エタノン及びその塩類,2-(2-kurorophenyl)-1-(1-pe nchiru-1H-indo-ru-3-iru) etanon,JWH-203,,2011/09/20,平成23年9月20日,44397500 ,YDINKDBAZJOSLV-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
114,指定薬物,Ｎ－（４－クロロフェニル）－２－メチル－Ｎ－（１－フェネチルピペリジン－４－イル）プロパンアミド及びその塩類,N-(4-kurorophenyl)-2-mechiru -N-(1-fenechirupiperijin-4- iru)puropanamido,4Cl-iBF,p-CIBF,2018/02/28,平成30年2月28日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
115,指定薬物,１－（４－クロロフェニル）－Ｎ－メチルプロパン－２－アミン及びその塩類,1-(4-kurorophenyl)-N-mechiru puropan-2-amine,4-CMA,p-CMA,2017/06/21,平成29年6月21日,3128 ,XXLWNLKEOWWHDC-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
116,指定薬物,２－（３－クロロフェニル）－３－メチルモルフォリン及びその塩類,2-(3-kurorophenyl)-3-mechiru moruforin,3-CPM,3-Chlorophenmetrazine,2023/06/21,令和5年6月21日,43350791 ,BOFUZZAQNVYZFF-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
117,指定薬物,サルビノリンA,sarubinorinA,sarubinorinA,,2007/02/28,平成19年2月28日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
118,指定薬物,１－（４－シアノブチル）－Ｎ－（２－フェニルプロパン－２－イル）－１Ｈ－ピロロ［２，３－ｂ ］ピリジン－３－カルボキサミド及びその塩類,"1-(4-shianobuchiru)-N-(2-fe nirupuropan-2-iru)-1H-piro ro[2,3-b]pirijin-3-karuboki samido",CUMYL-4CN-B7AICA,,-,令和元年6月13日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
119,指定薬物,Ｎ，Ｎ－ジイソプロピルトリプタミン及びその塩類,"N,N-jiisopropyltoriputamine及び その salts",DIPT,,2007/02/28,平成19年2月28日,26903 ,ZRVAAGAZUWXRIP-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
120,指定薬物,１－（２－ジエチルアミノ）エチル－２－（４－フルオロベンジル）－５－ニトロベンズイミダゾール及びその塩類,1-(2-jiechiruamineo)echiru-2- (4-furuorobenzylu)-5-nitorobe nzuimidazo-ru,Flunitazene,Fluonitazene,2024/11/06,令和6年11月6日,156588967 ,ZTWHIDCAGRMKTC-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
121,指定薬物,１－（２－ジエチルアミノ）エチル－２－（４－メトキシベンジル）ベンズイミダゾール及びその塩類,1-(2-jiechiruamineo)echiru-2- (4-methoxybenzylu)benzuimida zo-ru,"Metodesnitazene,  Metazene",,2024/11/06,令和6年11月6日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
122,指定薬物,３－ジエチルアミノ－２，２－ジメチルプロピル＝４－アミノベンゾアート及びその塩類,"3-jiechiruamineo-2,2-jimechirupu ropiru=4-amineobenzoa-to及びそ の salts",Dimethocaine,,2015/05/22,平成27年5月22日,7177 ,OWQIUQKMMPDHQQ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
123,指定薬物,N，N－ジエチル－７－エチル－４，６，６a，７，８，９－ヘキサヒドロインドロ[４，３－ｆｇ]キノリン－９－カルボキサミド及びその塩類,"N,N-jiechiru-7-echiru-4,6, 6a,7,8,9-hekisahidoroindoro[4, 3-fg]kinorin-9-karubokisamido及 びその salts",ETH-LAD,,2020/02/28,令和2年2月28日,44457783 ,MYNOUXJLOHVSMQ-DNVCBOLYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
124,指定薬物,Ｎ，Ｎ－ジエチル－４－ヒドロキシトリプタミン及びその塩類,"N,N-jiechiru-4-hidorokishitoripu tamine",4-OH DET,,2013/04/30,平成25年4月30日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
125,指定薬物,Ｎ，Ｎ－ジエチル－７－メチル－４－（チオフェン－２－カルボニル）－４，６，６ ａ，７，８，９－ヘキサヒドロインドロ［４，３－ｆｇ］キノリン－９－カルボキサミド及びその塩類,"N,N-jiechiru-7-mechiru-4-(chi ofen-2-karuboniru)-4,6,6 a,7,8,9-hekisahidoroindoro[4, 3-fg]kinorin-9-karubokisamido及 びその salts",1T-LSD,,2024/05/01,令和6年5月1日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
126,指定薬物,Ｎ，Ｎ－ジエチル－７－メチル－４－［３－（トリメチルシリル）プロパノイル］－４，６，６ａ，７，８，９－ヘキサヒドロインドロ［４，３－ｆｇ］キノリン－９－カルボキサミド及びその塩類,"N,N-jiechiru-7-mechiru-4-[3 -(torimechirushiriru)puropanoiru]- 4,6,6a,7,8,9-hekisahidoroin doro[4,3-fg]kinorin-9-karuboki samido",1S-LSD,,2025/03/05,令和7年3月5日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
127,指定薬物,Ｎ，Ｎ－ジエチル－７－メチル－４－プロピオニル－４，６，６ａ，７，８，９－ヘキサヒドロインドロ［４，３－ｆｇ］キノリン－９－カルボキサミド及びその塩類,"N,N-jiechiru-7-mechiru-4-pu ropioniru-4,6,6a,7,8,9-he kisahidoroindoro[4,3-fg]kinorin -9-karubokisamido",1P-LSD,,2016/04/08,平成28年4月8日,119025985 ,JSMQOVGXBIDBIE-OXQOHEQNSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
128,指定薬物,Ｎ，Ｎ－ジエチル－７－メチル－４－ペンタノイル－４，６，６ａ，７，８，９－ヘキサヒドロインドロ［４，３－ｆｇ］キノリン－９－カルボキサミド及びその塩類,"N,N-jiechiru-7-mechiru-4-pe ntanoiru-4,6,6a,7,8,9-heki sahidoroindoro[4,3-fg]kinorin- 9-karubokisamido",1V-LSD,,2023/03/10,令和5年3月10日,162368540 ,GIIBVGJWUZNECE-XMSQKQJNSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
129,指定薬物,Ｎ，Ｎ－ジエチル－５－メトキシトリプタミン及びその塩類,"N,N-jiechiru-5-methoxytoriputa min",5-MeO-DET,,2007/02/28,平成19年2月28日,417608 ,KGDVJQQWCDDEPP-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
130,指定薬物,1－（シクロブチルメチル）－N－（２－ フェニルプロパン－２－イル）－１H－インダゾール－3－カルボキサミド及びその塩類,1-(shikurobuchirumechiru)-N-(2- phenylpuropan-2-iru)-1H-i ndazo-ru-3-karubokisamido及びそ の salts,CUMYL-CBMINACA,,2022/08/30,令和4年8月30日,155884799 ,CFMZQSDQCNKGII-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
131,指定薬物,1－（シクロブチルメチル）－N－（２－ フェニルプロパン－２－イル）－１H－インドール－3－カルボキサミド及びその塩類,1-(shikurobuchirumechiru)-N-(2- phenylpuropan-2-iru)-1H-i ndo-ru-3-karubokisamido,CUMYL-CBMICA,,2022/06/28,令和4年6月28日,155884426 ,INXXQNIOWMOYEJ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
132,指定薬物,４－（シクロプロピルカルボニル）－Ｎ， Ｎ－ジエチル－７－メチル－４，６，６ａ，７，８，９－ヘキサヒドロインドロ［４，３－ ｆｇ］キノリン－９－カルボキサミド及びその塩類,"4-(shikuropuropirukaruboniru)-N, N-jiechiru-7-mechiru-4,6,6a, 7,8,9-hekisahidoroindoro[4,3- fg]kinorin-9-karubokisamido及びそ の salts",1cP-LSD,,2021/01/22,令和3年1月22日,155884675 ,RAFUPYYDHPFASC-DYESRHJHSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
133,指定薬物,４－（シクロプロピルカルボニル）－Ｎ－メチル－Ｎ－（プロパン－２－イル）－７－メチル－４，６，６ａ，７，８，９－ヘキサヒドロインドロ［４，３－ｆｇ］キノリン－９－カルボキサミド及びその塩類,"4-(shikuropuropirukaruboniru)-N- mechiru-N-(puropan-2-iru)-7 -mechiru-4,6,6a,7,8,9-heki sahidoroindoro[4,3-fg]kinorin- 9-karubokisamido",1cP-MiPLA,,2025/01/27,令和7年1月27日,170763684 ,DBIYDHUGEKMIHZ-DYESRHJHSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
134,指定薬物,２－（シクロヘキシルアミノ）－１－（３，４－メチレンジオキシフェニル）ブタン－１－オン及びその塩類,"2-(cyclohexylamineo)-1-(3, 4-mechirenjiokishiphenyl)butan- 1-on",N-Cyclohexylbutylone,Cybutylone,2023/10/26,令和5年10月26日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
135,指定薬物,２－シクロヘキシルアミノ－１－（３，４－メチレンジオキシフェニル）プロパン－１－オン,"2-cyclohexylamineo-1-(3,4 -mechirenjiokishiphenyl)puropan -1-on",Cyputylone N-Cyclohexylmethylone,,2025/07/03,令和7年7月3日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
136,指定薬物,２－シクロヘキシル－１－フェニル－２－（ピロリジン－１－イル）エタン－１－オン及びその塩類,2-cyclohexyl-1-phenyl-2 -(pirorijin-1-iru)etan-1- on,α-PCYP,,2021/08/25,令和3年8月25日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
137,指定薬物,２－［１－（シクロヘキシルメチル）－１H－インダゾール－３－カルボキサミド］－３－メチルブタン酸及びその塩類,2-[1-(cyclohexylmechiru)-1H -indazo-ru-3-karubokisamido] -3-mechirubutan酸,CHMINACA-BA,,2014/09/19,平成26年9月19日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
138,指定薬物,［１－（シクロヘキシルメチル）－１Ｈ－インドール－３－イル]（ナフタレン－１－イル）メタノン及びその塩類,[1-(cyclohexylmechiru)-1H- indo-ru-3-iru](nafutaren-1 -iru)metanon,NE-CHMIMO,JWH-018 cyclohexylmethyl derivative,-,令和元年11月14日,139031057 ,HGJYPIZWMHHQKS-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
139,指定薬物,［１－（シクロヘキシルメチル）－１Ｈ－インドール－３－イル］（４－メトキシナフタレン－１－イル）メタノン及びその塩類,[1-(cyclohexylmechiru)-1H- indo-ru-3-iru](4-methoxyna futaren-1-iru)metanon 類,CHM-081(JWH-081 cyclohexylmethyl derivative),,2020/08/26,令和2年8月26日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
140,指定薬物,５－（シクロヘキシルメチル）－２－（２－フェニルプロパン－２－イル）－２，５－ジヒドロ－１Ｈ－ピリド［４，３－ｂ］インドール－１－オン及びその塩類,"5-(cyclohexylmechiru)-2-(2 -phenylpuropan-2-iru)-2,5 -jihidoro-1H-pirido[4,3-b]in do-ru-1-on",CUMYL-CH-MEGACLONE,,2022/01/19,令和4年1月19日,155884822 ,CGHCGYCTOLWAPL-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
141,指定薬物,１－（２，３－ジクロロフェニル）ピペラジン及びその塩類,"1-(2,3-jikurorophenyl)piperaji n","2, 3-DCPP",,2013/04/30,平成25年4月30日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
142,指定薬物,２－（３，４－ジクロロフェニル）－２－（ピペリジン－２－イル）酢酸メチルエステル及びその塩類,"2-(3,4-jikurorophenyl)-2- (piperijin-2-iru) acetatemechiruesu teru","3, 4-Dichloromethylphenidate",,2014/03/06,平成26年3月6日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
143,指定薬物,４－(３，４－ジクロロフェニル）－７－メトキシ－２－メチル－１，２，３，４－テトラヒドロイソキノリン及びその塩類,"4-(3,4-jikurorophenyl)-7-me tokishi-2-mechiru-1,2,3,4-teto rahidoroisokinorin",Diclofensine,,2014/08/15,平成26年8月15日,68871 ,ZJDCGVDEEHWEIG-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
144,指定薬物,１－（２，３－ジヒドロベンゾフラン－５－イル）－２－（ピロリジン－１－イル）ペンタン－１－オン及びその塩類,"1-(2,3-jihidorobenzofuran-5- iru)-2-(pirorijin-1-iru)pe ntan-1-on",5-DBFPV,,2014/11/18,平成26年11月18日,129844558 ,CIGWUZUBQBQZAO-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
